AVGO.US,AVAGO TECHNOLOGIES
AVGR.US,AVINGER
AVHI.US,AV HOMES
AVID.US,AVID TECHNOLOGY
AVNU.US,AVENUE FINANCIAL HOLDINGS
AVNW.US,AVIAT NETWORKS
AVXL.US,ANAVEX LIFE SCIENCES
AWAY.US,HOMEAWAY
AWRE.US,AWARE
AXAS.US,ABRAXAS PETROLEUM
AXDX.US,ACCELERATE DIAGNOSTICS
AXGN.US,AXOGEN
AXPW.US,AXION POWER INT
AXPWW.US,AXION POWER INT
AXSM.US,AXSOME THERAPEUTICS
AXTI.US,AXT
AYA.US,AMAYA
AZPN.US,ASPEN TECHNOLOGY
BABY.US,NATUS MEDICAL
BAMM.US,BOOKS-A-MILLION
BANF.US,BANCFIRST
BANFP.US,BANCFIRST
BANR.US,BANNER
BANX.US,STONECASTLE FINANCIAL
BASI.US,BIOANALYTICAL SYSTEMS
BBBY.US,BED BATH & BEYOND
BBC.US,BIOSHARES BIOTECHNOLOGY CLINICAL TRIALS FUND
BBCN.US,BBCN BANCORP
BBEP.US,BREITBURN ENERGY PARTNERS
BBEPP.US,BREITBURN ENERGY PARTNERS
BBGI.US,BEASLEY BROADCAST GROUP
BBLU.US,BLUE EARTH
BBOX.US,BLACK BOX
BBP.US,BIOSHARES BIOTECHNOLOGY PRODUCTS FUND
BBRG.US,BRAVO BRIO RESTAURANT GROUP
BBRY.US,BLACKBERRY
BBSI.US,BARRETT BUSINESS SERVICES
BCBP.US,BCB BANCORP
BCDA.US,BIOCARDIA
BCLI.US,BRAINSTORM CELL THERAPEUTICS
BCOM.US,B COMMUNICATIONS
BCOR.US,BLUCORA
BCOV.US,BRIGHTCOVE
BCPC.US,BALCHEM
BCRX.US,BIOCRYST PHARMACEUTICALS
BDBD.US,BOULDER BRANDS
BDE.US,BLACK DIAMOND
BDGE.US,BRIDGE BANCORP
BDMS.US,BIRNER DENTAL MANAGEMENT SERVICES
BDSI.US,BIODELIVERY SCIENCES INT
BEAT.US,BIOTELEMETRY
BEAV.US,B/E AEROSPACE
BEBE.US,BEBE STORES
BECN.US,BEACON ROOFING SUPPLY
BELFA.US,BEL FUSE
BELFB.US,BEL FUSE
BFIN.US,BANKFINANCIAL
BGCP.US,BGC PARTNERS
BGFV.US,BIG 5 SPORTING GOODS
BGMD.US,BG MEDICINE
BHAC.US,BARINGTON/HILCO ACQUISITION
BHACR.US,BARINGTON/HILCO ACQUISITION
BHACU.US,BARINGTON/HILCO ACQUISITION
BHACW.US,BARINGTON/HILCO ACQUISITION
BHBK.US,BLUE HILLS BANCORP
BIB.US,PROSHARES ULTRA NASDAQ BIOTECHNOLOGY
BICK.US,FIRST TRUST BICK INDEX FUND
BIDU.US,BAIDU
BIIB.US,BIOGEN
BIND.US,BIND THERAPEUTICS
BIOC.US,BIOCEPT
BIOD.US,BIODEL
BIOL.US,BIOLASE
BIOS.US,BIOSCRIP
BIS.US,PROSHARES ULTRASHORT NASDAQ BIOTECHNOLOGY
BITE.US,THE RESTAURANT ETF
BITI.US,BIOTIE THERAPIES OYJ
BJRI.US,BJ'S RESTAURANTS
BKCC.US,BLACKROCK CAPITAL INVESTMENT
BKEP.US,BLUEKNIGHT ENERGY PARTNERS
BKEPP.US,BLUEKNIGHT ENERGY PARTNERS
BKMU.US,BANK MUTUAL
BKSC.US,BANK OF SOUTH CAROLINA
BLBD.US,BLUE BIRD
BLBDW.US,BLUE BIRD
BLCM.US,BELLICUM PHARMACEUTICALS
BLDP.US,BALLARD POWER SYSTEMS
BLDR.US,BUILDERS FIRSTSOURCE
BLFS.US,BIOLIFE SOLUTIONS
BLIN.US,BRIDGELINE DIGITAL
BLKB.US,BLACKBAUD
BLMN.US,BLOOMIN' BRANDS
BLMT.US,BSB BANCORP
BLPH.US,BELLEROPHON THERAPEUTICS
BLRX.US,BIOLINE RX
BLUE.US,BLUEBIRD BIO
BLVD.US,BOULEVARD ACQUISITION II
BLVDU.US,BOULEVARD ACQUISITION II
BLVDW.US,BOULEVARD ACQUISITION II
BMRC.US,BANK OF MARIN BANCORP
BMRN.US,BIOMARIN PHARMACEUTICAL
BMTC.US,BRYN MAWR BANK
BNCL.US,BENEFICIAL BANCORP
BNCN.US,BNC BANCORP
BNDX.US,VANGUARD TOTAL INT BOND ETF
BNFT.US,BENEFITFOCUS
BNSO.US,BONSO ELECTRONICS INT
BNTC.US,BENITEC BIOPHARMA
BNTCW.US,BENITEC BIOPHARMA
BOBE.US,BOB EVANS FARMS
BOCH.US,BANK OF COMMERCE HOLDINGS
BOFI.US,BOFI HOLDING
BOJA.US,BOJANGLES'
BOKF.US,BOK FINANCIAL
BONA.US,BONA FILM GROUP
BONT.US,THE BON-TON STORES
BOOM.US,DYNAMIC MATERIALS
BOSC.US,BOS BETTER ON-LINE SOLUTIONS
BOTA.US,BIOTA PHARMACEUTICALS
BOTJ.US,BANK OF THE JAMES FINANCIAL GROUP
BOXL.US,BOXLIGHT
BPFH.US,BOSTON PRIVATE FINANCIAL HOLDINGS
BPFHP.US,BOSTON PRIVATE FINANCIAL HOLDINGS
BPFHW.US,BOSTON PRIVATE FINANCIAL HOLDINGS
BPMC.US,BLUEPRINT MEDICINES
BPOP.US,POPULAR
BPOPM.US,POPULAR
BPOPN.US,POPULAR
BPTH.US,BIO-PATH HOLDINGS
BRCD.US,BROCADE COMMUNICATIONS SYSTEMS
BRCM.US,BROADCOM
BREW.US,CRAFT BREW ALLIANCE
BRID.US,BRIDGFORD FOODS
BRKL.US,BROOKLINE BANCORP
BRKR.US,BRUKER
BRKS.US,BROOKS AUTOMATION
BSET.US,BASSETT FURNITURE INDUSTRIES
BSF.US,BEAR STATE FINANCIAL
BSFT.US,BROADSOFT
BSPM.US,BIOSTAR PHARMACEUTICALS
BSQR.US,BSQUARE
BSRR.US,SIERRA BANCORP
BSTC.US,BIOSPECIFICS TECHNOLOGIES
BUFF.US,BLUE BUFFALO PET PRODUCTS
