NRO.US,NEUBERGER BERMAN REAL ESTATE SECURITIES INCOME FUND
NSAT.US,NORSAT INT
NSPR.US,INSPIREMD
NSU.US,NEVSUN RESOURCES
NTIP.US,NETWORK-1 TECHNOLOGIES
NTN.US,NTN BUZZTIME
NVG.US,NUVEEN DIVIDEND ADVANTAGE MUNICIPAL INCOME FUND
NVX.US,NUVEEN CALIFORNIA DIVIDEND ADVANTAGE MUNICIPAL FUND 2
NXZ.US,NUVEEN DIVIDEND ADVANTAGE MUNICIPAL FUND 2
NYH.US,EATON VANCE NEW YORK MUNICIPAL BOND FUND II
NYV.US,NUVEEN NEW YORK MUNICIPAL VALUE FUND 2
NZF.US,NUVEEN DIVIDEND ADVANTAGE MUNICIPAL FUND 3
NZH.US,NUVEEN CALIFORNIA DIVIDEND ADVANTAGE MUNICIPAL FUND 3
OGEN.US,ORAGENICS
ONP.US,ORIENT PAPER
ONVO.US,ORGANOVO HOLDINGS
ORM.US,OWENS REALTY MORTGAGE
OSGB.US,OVERSEAS SHIPHOLDING GROUP
OSGW.US,OVERSEAS SHIPHOLDING GROUP Inc
PARR.US,PAR PACIFIC HOLDINGS
PBM.US,PACIFIC BOOKER MINERALS
PCG_A.US,PACIFIC GAS & ELECTRIC
PCG_B.US,PACIFIC GAS & ELECTRIC
PCG_C.US,PACIFIC GAS & ELECTRIC
PCG_D.US,PACIFIC GAS & ELECTRIC
PCG_E.US,PACIFIC GAS & ELECTRIC
PCG_G.US,PACIFIC GAS & ELECTRIC
PCG_H.US,PACIFIC GAS & ELECTRIC
PCG_I.US,PACIFIC GAS & ELECTRIC
PED.US,PEDEVCO
PFNX.US,PFENEX
PHF.US,PACHOLDER HIGH YIELD FUND
PIP.US,PHARMATHENE
PLG.US,PLATINUM GROUP METALS
PLM.US,POLYMET MINING
PLX.US,PROTALIX BIOTHERAPEUTICS
PRK.US,PARK NATIONAL
PTN.US,PALATIN TECHNOLOGIES
PVCT-WS.US,PROVECTUS BIOPHARMACEUTICALS I
PVCT.US,PROVECTUS BIOPHARMACEUTICALS
PW.US,POWER REIT
PW_A.US,POWER REIT
PZG.US,PARAMOUNT GOLD NEVADA
QRMLF.US,QUEST RARE MINERALS
RBY.US,RUBICON MINERALS
RCG.US,RENN FUND
REE.US,RARE ELEMENT RESOURCES
REED.US,REED'S
REI.US,RING ENERGY
RIC.US,RICHMONT MINES
RIF.US,RMR REAL ESTATE INCOME FUND
RLGT.US,RADIANT LOGISTICS
RLGT_A.US,RADIANT LOGISTICS
RNN.US,REXAHN PHARMACEUTICALS
ROX.US,CASTLE BRANDS
RVP.US,RETRACTABLE TECHNOLOGIES
RWC.US,RELM WIRELESS
SAND.US,SANDSTORM GOLD
SARAQ.US,SARATOGA RESOURCES
SBI.US,WESTERN ASSET INTERMEDIATE MUNI FUND
SCE_B.US,SOUTHERN CALIFORNIA EDISON COMPANY
SCE_C.US,SOUTHERN CALIFORNIA EDISON COMPANY
SCE_D.US,SOUTHERN CALIFORNIA EDISON COMPANY
SCE_E.US,SOUTHERN CALIFORNIA EDISON COMPANY
SDPI.US,SUPERIOR DRILLING PRODUCTS
SEB.US,SEABOARD
SGA.US,SAGA COMMUNICATIONS
SGB.US,SOUTHWEST GEORGIA FINANCIAL
SIF.US,SIFCO INDUSTRIES
SIM.US,GRUPO SIMEC SAB DE CV
SKY.US,SKYLINE
SLI.US,SL INDUSTRIES
SPP.US,SANCHEZ PRODUCTION PARTNERS
SSN.US,SAMSON OIL & GAS
SSY.US,SUNLINK HEALTH SYSTEMS
STRP.US,STRAIGHT PATH COMMUNICATIONS
STS.US,SUPREME INDUSTRIES
SVBL.US,SILVER BULL RESOURCES
SVT.US,SERVOTRONICS
SYN.US,SYNTHETIC BIOLOGICS
SYRG.US,SYNERGY RESOURCES
TAS.US,TASMAN METALS
TAT.US,TRANSATLANTIC PETROLEUM
TGB.US,TASEKO MINES
TGC.US,TENGASCO
TGD.US,TIMMINS GOLD
THM.US,INT TOWER HILL MINES
TIK.US,TEL-INSTRUMENT ELECTRONICS
TIS.US,ORCHIDS PAPER PRODUCTS
TLR.US,TIMBERLINE RESOURCES
TMP.US,TOMPKINS FINANCIAL
TOF.US,TOFUTTI BRANDS
TPI.US,TIANYIN PHARMACEUTICAL
TPLM.US,TRIANGLE PETROLEUM
TRC-WS.US,TEJON RANCH CO. WARRANTS (EXPI
TRT.US,TRIO-TECH INT
TRX.US,TANZANIAN ROYALTY EXPLORATION
TRXC.US,TRANSENTERIX
TXMD.US,THERAPEUTICSMD
UAMY.US,US ANTIMONY
UEC.US,URANIUM ENERGY
UFAB.US,UNIQUE FABRICATING
UQM.US,UQM TECHNOLOGIES
URG.US,UR-ENERGY
UTG.US,REAVES UTILITY INCOME FUND
UTGR.US,REAVES UTILITY Income FUND RIG
UUU.US,UNIVERSAL SECURITY INSTRUMENTS
UUUU.US,ENERGY FUELS
UWN.US,NEVADA GOLD & CASINOS
VCF.US,DELAWARE INVESTMENTS COLORADO MUNICIPAL INCOME FUND
