17GK.UK,MEGAFON A
KAZ.UK,KAZ MINERALS
KBC.UK,KBC ADVANCED TECHNOLOGIES
KBE.UK,KIMBERLY ENTERPRISES
KBT.UK,K3 BUSINESS TECHNOLOGY GROUP
KCOM.UK,KCOM GROUP
KCR.UK,K&C REIT
KDR.UK,KARELIAN DIAMOND RESOURCES
KEA.UK,KEA PETROLEUM
KEFI.UK,KEFI MINERALS
KEM.UK,KEMIN RESOURCES
KENV.UK,KENNEDY VENTURES
KGF.UK,KINGFISHER
KGLD.UK,KOLAR GOLD
KGP.UK,KINGSPAN GROUP
KIBO.UK,KIBO MINING
KIE.UK,KIER GROUP
KIT.UK,KEYSTONE INVESTMENT TRUST
KLBT.UK,KALIBRATE TECHNOLOGIES
KLN.UK,KELLAN GROUP
KLR.UK,KELLER GROUP
KMK.UK,KROMEK GROUP
KMR.UK,KENMARE RESOURCES
KNM.UK,KONAMI
KNOS.UK,KAINOS GROUP
KOD.UK,KODAL MINERALS
KOOV.UK,KOOVS
KRS.UK,KERAS
KSK.UK,KSK POWER VENTUR
KUBC.UK,KUBERA CROSS-BORDER FUND
KUL.UK,KUALA
KWE.UK,KENNEDY WILSON EUROPE REAL ESTATE
KWS.UK,KEYWORDS STUDIOS
KYGA.UK,KERRY GROUP
LAD.UK,LADBROKES
LAKE.UK,LAKEHOUSE
LAM.UK,LAMPRELL
LAND.UK,LAND SECURITIES GROUP
LAS.UK,LONDON & ASSOCIATED PROPERTIES
LAUD.UK,ETFS LONG AUD SHORT USD
LBB.UK,LITEBULB GROUP
LBOW.UK,ICG-LONGBOW SENIOR SECURED UK PROPERTY DEBT INVESTMENTS
LBS.UK,LEEDS BUILDING SOCIETY
LCG.UK,LONDON CAPITAL GROUP HOLDINGS
LCHF.UK,ETFS LONG CHF SHORT USD
LCNP.UK,ETFS LONG CNY SHORT USD USD
LDP.UK,LEED RESOURCES
LDSG.UK,LEEDS GROUP
LEAF.UK,LEAF CLEAN ENERGY
LEAL.UK,LEAD ALL INVESTMENTS
LED.UK,LED INT HOLDINGS
LEED.UK,ETFS LEAD INDIVIDUAL SECURITIES
LEF.UK,LUDGATE ENVIRONMENTAL FUND
LEG.UK,LEGENDARY INVESTMENTS
LEK.UK,LEKOIL
LEUR.UK,ETFS LONG EUR SHORT USD
LFI.UK,LONDON FINANCE & INVESTMENT GROUP
LGEN.UK,LEGAL & GENERAL GROUP
LGO.UK,LGO ENERGY
LGT.UK,LIGHTHOUSE GROUP
LID.UK,LIDCO GROUP
LIFE.UK,LIFE SCIENCE DEVELOPMENTS
LINP.UK,ETFS LONG INR SHORT USD USD
LINR.UK,ETFS LONG INR SHORT USD USD
LIO.UK,LIONTRUST ASSET MANAGEMENT
LIV.UK,LIVERMORE INVESTMENTS GROUP
LIVN.UK,LIVANOVA
LJP3.UK,ETFS 3X LONG JPY SHORT USD
LJPY.UK,ETFS LONG JPY SHORT USD
LKOH.UK,LUKOIL
LLD1.UK,LLOYDS BANKING GROUP
LLD2.UK,LLOYDS BANKING GROUP
LLD6.UK,LLOYDS BANKING GROUP
LLOY.UK,LLOYDS BANKING GROUP
LLPC.UK,LLOYDS BANKING GROUP
LLPD.UK,LLOYDS BANKING GROUP
LLPE.UK,LLOYDS BANKING GROUP
LLPG.UK,LLOYDS BANKING GROUP
LME.UK,LIMITLESS EARTH
LMI.UK,LONMIN
LMP.UK,LONDONMETRIC PROPERTY
LMS.UK,LMS CAPITAL
LND.UK,LANDORE RESOURCES
LNOK.UK,ETFS LONG NOK SHORT USD
LNTR.UK,LENTA
LOGP.UK,LANSDOWNE OIL & GAS
LOK.UK,LOK'NSTORE GROUP
LOOK.UK,LOOKERS
LPA.UK,LPA GROUP
LRD.UK,LAIRD
LRE.UK,LANCASHIRE HOLDINGS
LRM.UK,LOMBARD RISK MANAGEMENT
LSC.UK,LONDON SECURITY
LSE.UK,LONDON STOCK EXCHANGE GROUP
LSIC.UK,LIFELINE SCIENTIFIC
LSL.UK,LSL PROPERTY SERVICES
LSLI.UK,LONDON & ST LAWRENCE INVESTMENT COMPANY
LSR.UK,THE LOCAL SHOPPING REIT
LTC.UK,LATCHWAYS
LTG.UK,LEARNING TECHNOLOGIES GROUP
LTHM.UK,JAMES LATHAM
LTHP.UK,LATHAM
LTI.UK,LINDSELL TRAIN INVESTMENT TRUST
LVD.UK,LAVENDON GROUP
LVRT.UK,LEVRETT
LWB.UK,LOW & BONAR
LWDB.UK,LAW DEBENTURE
LWI.UK,LOWLAND INVESTMENT COMPANY
LWRF.UK,LIGHTWAVERF
LXB.UK,LXB RETAIL PROPERTIES
MAB.UK,MITCHELLS & BUTLERS
MAB1.UK,MORTGAGE ADVICE BUREAU HOLDINGS
MAC.UK,MARECHALE CAPITAL
MACC.UK,MACROMAC
MACF.UK,MACFARLANE GROUP
MAFL.UK,MINERAL & FINANCIAL INVESTMENTS
MAGP.UK,MAGNOLIA PETROLEUM
MAI.UK,MAINTEL HOLDINGS
MAJE.UK,MAJEDIE INVESTMENTS
MANX.UK,MANX TELECOM
MARI.UK,MARIMEDIA
MARL.UK,MARIANA RESOURCES
MARS.UK,MARSTON'S
MASA.UK,MASAWARA
MATD.UK,PETRO MATAD
MAV4.UK,MAVEN INCOME AND GROWTH VCT4
MAW.UK,MARUWA
MAYA.UK,MAYAIR GROUP
MBC.UK,MITSUBISHI
MBH.UK,MICHELMERSH BRICK HOLDINGS
MBO.UK,MOBILITYONE
MBSP.UK,MANCHESTER BUILDING SOCIETY
MBSR.UK,MANCHESTER BUILDING SOCIETY
MBT.UK,MOBILE TORNADO GROUP
MCB.UK,MCBRIDE
MCGN.UK,MICROGEN
MCKS.UK,MCKAY SECURITIES
MCLS.UK,MCCOLL'S RETAIL GROUP
MCO.UK,MARTINCO
MCON.UK,MINCON GROUP
MCP.UK,MARTIN CURRIE ASIA UNCONSTRAINED TRUST
MCRO.UK,MICRO FOCUS INT
MCS.UK,MCCARTHY & STONE
MCT.UK,MIDDLEFIELD CANADIAN INCOME PCC
MDO.UK,MANDARIN ORIENTAL INTERN
MDOB.UK,MANDARIN ORIENTAL INT
MDOJ.UK,MANDARIN ORIENTAL INT
MDZ.UK,MEDIAZEST
MED.UK,MEDAPHOR GROUP
MEDI.UK,MEDILINK-GLOBAL UK
MEL.UK,MITSUBISHI ELECTRIC
MER.UK,MEARS GROUP
MERC.UK,MERCIA TECHNOLOGIES
MERL.UK,MERLIN ENTERTAINMENTS
MES.UK,MESSAGING INT
MFX.UK,MANX FINANCIAL GROUP
MGAM.UK,MORGAN ADVANCED MATERIALS
MGGT.UK,MEGGITT
MGHC.UK,M&G HIGH INCOME INVESTMENT TRUST
MGHI.UK,M&G HIGH INCOME INVESTMENT TRUST
MGHP.UK,M&G HIGH INCOME INVESTMENT TRUST
MGHU.UK,M&G HIGH INCOME INVESTMENT TRUST
MGHZ.UK,M&G HIGH INCOME INVESTMENT TRUST
MGNS.UK,MORGAN SINDALL GROUP
MGR.UK,MITON GROUP
MHM.UK,MARSH & MCLENNAN COS.
MHN.UK,MENHADEN CAPITAL
MIG.UK,MOBEUS INCOME & GROWTH 2 VCT
MIG1.UK,MAVEN INCOME & GROWTH VCT
MIG2.UK,MAVEN INCOME AND GROWTH VCT 2
MIG3.UK,MAVEN INCOME AND GROWTH VCT 3
MIG4.UK,MOBEUS INCOME & GROWTH 4 VTC
MIG5.UK,MAVEN INCOME & GROWTH VCT5
MIG6.UK,MAVEN INCOME AND GROWTH VCT 6
MIL.UK,MYANMAR INVESTMENTS INT
MIN.UK,MINOAN GROUP
MINI.UK,MITON UK MICROCAP TRUST
MIO.UK,MINCO
MIRA.UK,MIRADA
MIRL.UK,MINERA IRL
MITH.UK,MITHRIL CAPITAL
MIX.UK,MOBEUS INCOME & GROWTH VCT
MJW.UK,MAJESTIC WINE
MKLW.UK,MUCKLOW A & J GROUP
MKS.UK,MARKS & SPENCER GROUP
MKT.UK,MARKET TECH HOLDINGS
MLC.UK,MILLENNIUM & COPTHORNE HOTELS
MLD.UK,MIRLAND DEVELOPMENT
MLIN.UK,MOLINS
MMC.UK,MANAGEMENT CONSULTING GROUP
MMH.UK,MARSHALL MOTOR HOLDINGS
MMO.UK,MERCOM OIL SANDS
MMP.UK,MARWYN MANAGEMENT PARTNERS
MMX.UK,MINDS PLUS MACHINES GROUP
MNC.UK,METMINCO
MNDI.UK,MONDI
MNKS.UK,MONKS INVESTMENT TRUST
MNL.UK,MANCHESTER & LONDON INVESTMENT TRUST
MNP.UK,MARTIN CURRIE PORTFOLIO INVESTMENT TRUST
MNZS.UK,JOHN MENZIES
MOGP.UK,MOUNTFIELD GROUP
MOIL.UK,MADAGASCAR OIL
MONI.UK,MONITISE
MONY.UK,MONEYSUPERMARKET.COM GROUP
MORT.UK,MORTICE
MOS.UK,MOBILE STREAMS
MOSB.UK,MOSS BROS GROUP
MPAY.UK,MI-PAY GROUP
MPE.UK,MP EVANS GROUP
MPI.UK,MICHAEL PAGE INT
MPM.UK,MPORIUM GROUP
MPO.UK,MACAU PROPERTY OPPORTUNITIES FUND
MRC.UK,MERCANTILE INVESTMENT TRUST
MRCH.UK,MERCHANTS TRUST
MRL.UK,MARLOWE HOLDINGS
MRO.UK,MELROSE INDUSTRIES
MRR.UK,MILL RESIDENTIAL REIT PL
MRS.UK,MANAGEMENT RESOURCE SOLU
MRW.UK,WM MORRISON SUPERMARKETS
MSG.UK,MILESTONE GROUP
MSI.UK,MS INT
MSLH.UK,MARSHALLS
MSMN.UK,MOSMAN OIL & GAS
MSYS.UK,MICROSAIC SYSTEMS
MTC.UK,MOTHERCARE
MTE.UK,MONTANARO EUROPEAN SMALLER COS TRUST
MTEC.UK,MATCHTECH GROUP
MTFB.UK,MOTIF BIO
MTH.UK,MITHRAS INVESTMENT TRUST
MTL.UK,METALS EXPLORATION
MTMY.UK,MATOMY MEDIA GROUP
MTO.UK,MITIE GROUP
MTPH.UK,MIDATECH PHARMA
MTR.UK,METAL TIGER
MTU.UK,MONTANARO UK SMALLER COMPANIES INVESTMENT TRUST
MTV.UK,MOTIVE TELEVISION
MTVW.UK,MOUNTVIEW ESTATES
MTW.UK,MATTIOLI WOODS
MUBL.UK,MBL GROUP
MUL.UK,MULBERRY GROUP
MUR.UK,MURGITROYD GROUP
MUT.UK,MURRAY INCOME TRUST
MVI.UK,MARWYN VALUE INVESTORS
MWA.UK,MWANA AFRICA
MWE.UK,MTI WIRELESS EDGE
MWG.UK,MODERN WATER
MWGT.UK,MITON WORLDWIDE GROWTH INVESTMENT TRUST
MWY.UK,MID WYND INT INVESTMENT TRUST
MXCP.UK,MXC CAPITAL
MXF.UK,MEDICX FUND
MXO.UK,MX OIL
MXP.UK,MAX PETROLEUM
MYI.UK,MURRAY INT TRUST
MYIB.UK,MURRAY INT TRUST
MYSL.UK,MYSALE GROUP
MYSQ.UK,MYSQUAR
MYT.UK,MYTRAH ENERGY
MYX.UK,MYCELX TECHNOLOGIES
MYXR.UK,MYCELX TECHNOLOGIES
NABB.UK,NATIONWIDE BUILDING SOCIETY
NAH.UK,NAHL GROUP
NAIT.UK,NORTH AMERICAN INCOME TRUST
NAK.UK,NAKAMA GROUP
NANO.UK,NANOCO GROUP
NANW.UK,NATIONWIDE BUILDING SOCIETY
NAR.UK,NORTHAMBER
NAS.UK,NORTH ATLANTIC SMALLER COS INVESTMENT TRUST
NASA.UK,NASSTAR
NAWI.UK,NATIONWIDE BUILDING SOCIETY
NBB.UK,NORMAN BROADBENT
NBDD.UK,NB DISTRESSED DEBT INVESTMENT FUND
NBDG.UK,NB DISTRESSED DEBT INVESTMENT FUND
NBDX.UK,NB DISTRESSED DEBT INVESTMENT FUND
NBI.UK,NORTHBRIDGE INDUSTRIAL SERVICES
NBLS.UK,NB GLOBAL FLOATING RATE INCOME FUND
NBLU.UK,NB GLOBAL FLOATING RATE INCOME FUND
NBNK.UK,NBNK INVESTMENTS
NBPE.UK,NB PRIVATE EQUITY PARTNERS
NBPZ.UK,NB PRIVATE EQUITY PARTNERS
NBR.UK,NAMIBIAN RESOURCES
NBSP.UK,NEWCASTLE BUILDING SOCIETY
NBSR.UK,NEWCASTLE BUILDING SOCIETY
NCA.UK,NEW CENTURY AIM VCT
NCA2.UK,NEW CENTURY AIM VCT 2 PL
NCC.UK,NCC GROUP
NCCL.UK,NCONDEZI ENERGY
NCE.UK,NEW CITY ENERGY
NCON.UK,NORCON
NCT.UK,NORTHCOTE ENERGY
NCYF.UK,CQS NEW CITY HIGH YIELD FUND
NEP.UK,NEPTUNE CALCULUS INCOME & GROWTH VCT
NEPI.UK,NEW EUROPE PROPERTY INVESTMENTS
NESF.UK,NEXTENERGY SOLAR FUND
NET.UK,NETCALL
NETD.UK,NETDIMENSIONS HOLDINGS
NEW.UK,NEW WORLD OIL AND GAS
NEX.UK,NATIONAL EXPRESS GROUP
NFC.UK,NEXT FIFTEEN COMMUNICATIONS GROUP
NGR.UK,NATURE GROUP
NG_.UK,NATIONAL GRID
NHL.UK,NOMAD FOODS
NHY.UK,NORSK HYDRO ASA
NICL.UK,NICHOLS
NII.UK,NEW INDIA INVESTMENT TRUST
NIPT.UK,PREMAITHA HEALTH
NKTN.UK,NEKTAN
NLG.UK,ARRIA NLG
NMC.UK,NMC HEALTH
NMD.UK,NORTH MIDLAND CONSTRUCTION
NMG.UK,NORICUM GOLD
NOG.UK,NOSTRUM OIL & GAS
NOGB.UK,ETFS SHORT NOK LONG GBP
NOKP.UK,ETFS LONG NOK SHORT USD
NOP.UK,NORTHERN PETROLEUM
NOTP.UK,NOTTINGHAM BUILDING SOCIETY
NOVA.UK,NOVA RESOURCES
NPT.UK,NETPLAY TV
NRGY.UK,IPATH S&P GSCI ENERGY INDEX TR ETN
NRI.UK,NORTHERN INVESTORS
NRR.UK,NEWRIVER RETAIL
NRRP.UK,NORTH RIVER RESOURCES
NSA.UK,NIMROD SEA ASSETS
NSCI.UK,NETSCIENTIFIC
NSF.UK,NON-STANDARD FINANCE
NSH.UK,NORISH
NSI.UK,NEW STAR INVESTMENT TRUST
NTA.UK,NORTHACRE
NTBC.UK,NOIDA TOLL BRIDGE
NTBR.UK,NORTHERN BEAR
NTEA.UK,NORTHERN ELECTRIC
NTG.UK,NORTHGATE
NTLG.UK,NEW TREND LIFESTYLE GROUP
NTN.UK,NORTHERN 3 VCT
NTOG.UK,NOSTRA TERRA OIL & GAS
NTQ.UK,ENTEQ UPSTREAM
NTV.UK,NORTHERN 2 VCT
NUM.UK,NUMIS
NUOG.UK,NU-OIL AND GAS
NVA.UK,NOVAE GROUP
NVT.UK,NORTHERN VENTURE TRUST
NWBD.UK,NATIONAL WESTMINSTER BANK
NWF.UK,NWF GROUP
NWIG.UK,NORTHWEST INVESTMENT GROUP
NWR.UK,NEW WORLD RESOURCES
NWT.UK,NEWMARK SECURITY
NXR.UK,NORCROS
NXT.UK,NEXT
NYO.UK,NYOTA MINERALS
NZDP.UK,ETFS LONG NZD SHORT USD
NZGB.UK,ETFS SHORT NZD LONG GBP
O001.UK,ISHARES
O009.UK,ISHARES
O017.UK,ISHARES
O018.UK,ISHARES
O019.UK,ISHARES
O033.UK,ISHARES
O036.UK,ISHARES
O055.UK,ISHARES
O056.UK,ISHARES
O057.UK,ISHARES
O076.UK,ISHARES
O088.UK,ISHARES
O102.UK,ISHARES
O108.UK,ISHARES
O119.UK,INVESCO ACTIVE CASH PENSION
O124.UK,ISHARES
OAP3.UK,OCTOPUS APOLLO VCT
OAPC.UK,OCTOPUS APOLLO VCT
OBT.UK,OBTALA RESOURCES
OCDO.UK,OCADO GROUP
OCL.UK,OAKLEY CAPITAL INVESTMENTS
OCN.UK,OCEAN WILSONS HOLDINGS
OCT.UK,OCTAGONAL
OCV3.UK,OCTOPUS VCT 3
OCV4.UK,OCTOPUS VCT 4
ODX.UK,OMEGA DIAGNOSTICS GROUP
OEC1.UK,OCTOPUS ECLIPSE VCT
OEX.UK,OILEX
OGN.UK,ORIGIN ENTERPRISES
OIG.UK,ORYX INT GROWTH FUND
OMG.UK,OMG
OMI.UK,OROSUR MINING
OMIP.UK,ONE MEDIA IP GROUP
OML.UK,OLD MUTUAL
ONL.UK,ON-LINE
ONZ.UK,ONZIMA VENTURES
OOA.UK,OCTOPUS AIM VCT
OPAY.UK,OPTIMAL PAYMENTS
OPG.UK,OPG POWER VENTURES
OPHR.UK,OPHIR ENERGY
OPM.UK,1PM
OPP.UK,ORIGO PARTNERS
OPPP.UK,ORIGO PARTNERS
OPRA.UK,OPERA INVESTMENTS
OPTI.UK,OPTIBIOTIX HEALTH
ORCH.UK,ORCHARD FUNDING GROUP
ORCP.UK,ORACLE COALFIELDS
ORE.UK,OROGEN GOLD
ORM.UK,ORMONDE MINING
OSB.UK,ONESAVINGS BANK
OSEC.UK,OCTOPUS SECOND AIM VCT 2
OSG.UK,OPSEC SECURITY GROUP
OSU.UK,ORSU METALS
OTB.UK,ON THE BEACH GROUP
OTC.UK,ORTAC RESOURCES
OTM.UK,OTTOMAN FUND
OTT.UK,OXFORD TECHNOLOGY 3 VCT
OTV2.UK,OCTOPUS TITAN VCT
OUT.UK,OUTSOURCERY
OVC2.UK,OCTOPUS VCT 2
OVG.UK,OVOCA GOLD
OXA.UK,OXFORD ADVANCED SURFACES GROUP
OXB.UK,OXFORD BIOMEDICA
OXF.UK,OXFORD TECHNOLOGY 4 VCT
OXH.UK,OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST
OXIG.UK,OXFORD INSTRUMENTS
OXP.UK,OXFORD PHARMASCIENCE GROUP
OXS.UK,OXUS GOLD
OXT.UK,OXFORD TECHNOLOGY VENTURE CAPITAL TRUST
P2P.UK,P2P GLOBAL INVESTMENTS P
P2P2.UK,P2P GLOBAL INVESTMENTS P
PAA.UK,PARALLEL MEDIA GROUP
PAC.UK,PACIFIC ASSETS TRUST
PACC.UK,PRIME ACTIVE CAPITAL
PACL.UK,PACIFIC ALLIANCE CHINA LAND
PAF.UK,PAN AFRICAN RESOURCES
PAG.UK,PARAGON GROUP OF COMPANIES
PAL.UK,EQUATORIAL PALM OIL
PANR.UK,PANTHEON RESOURCES
PAP.UK,PADDY POWER
PAX.UK,PACIFIC ALLIANCE ASIA OPPORTUNITY FUND L
PAY.UK,PAYPOINT
PAYS.UK,PAYSAFE GROUP
PA_.UK,PARTNERSHIP ASSURANCE GROUP
PCA.UK,PALACE CAPITAL
PCF.UK,PRIVATE & COMMERCIAL FINANCE GROUP
PCFS.UK,POLAR CAPITAL GLOBAL FINANCIALS TRUST
PCFT.UK,POLAR CAPITAL GLOBAL FINANCIALS TRUST
PCGB.UK,POWER CAPITAL GLOBAL
PCGE.UK,PCG ENTERTAINMENT
PCGH.UK,POLAR CAPITAL GLOBAL HEALTHCARE GROWTH & INCOME
PCI.UK,PETROCELTIC INT
PCT.UK,POLAR CAPITAL TECHNOLOGY TRUST
PCTN.UK,PICTON PROPERTY INCOME
PCTZ.UK,PICTON ZDP
PDG.UK,PENDRAGON
PDL.UK,PETRA DIAMONDS
PDZ.UK,PRAIRIE MINING
PEBI.UK,PORT ERIN BIOPHARMA INVESTMENTS
PEG.UK,PETARDS GROUP
PEL.UK,PARAGON ENTERTAINMENT
PEMB.UK,PEMBROKE VCT
PEMV.UK,PEMBROKE VCT
PEN.UK,PENNANT INT GROUP
PEQ.UK,PRIVATE EQUITY INVESTOR
PET.UK,PETREL RESOURCES
PETS.UK,PETS AT HOME GROUP
PEW.UK,PREMIER ENERGY & WATER TRUST
PEWZ.UK,PREMIER ENERGY & WATER TRUST
PEY.UK,PRINCESS PRIVATE EQUITY HOLDING
PFC.UK,PETROFAC
PFD.UK,PREMIER FOODS
PFG.UK,PROVIDENT FINANCIAL
PFL.UK,PREMIER FARNELL
PFLA.UK,PREMIER FARNELL
PFLB.UK,PREMIER FARNELL
PFP.UK,PATHFINDER MINERALS
PFZ.UK,PFIZER INCORPORATED
PGD.UK,PATAGONIA GOLD
PGH.UK,PERSONAL GROUP HOLDINGS
PGIL.UK,POLYUS GOLD INT
PGOO.UK,PROVEN GROWTH & INCOME VCT
PGY.UK,PROGILITY
PHC.UK,PLANT HEALTH CARE
PHD.UK,PROACTIS HOLDINGS
PHE.UK,POWERHOUSE ENERGY GROUP
PHI.UK,PACIFIC HORIZON INVESTMENT TRUST
PHNX.UK,PHOENIX GROUP HOLDINGS
PHO.UK,PEEL HOTELS
PHP.UK,PRIMARY HEALTH PROPERTIES
PHRM.UK,PHORM
PHSC.UK,PHSC
PHTM.UK,PHOTO-ME INT
PHU.UK,M&L PROPERTY & ASSETS
PIC.UK,PACE
PIL.UK,PRODUCE INVESTMENTS
PIM.UK,PLANT IMPACT
PIN.UK,PANTHEON INT
PINN.UK,PINNACLE TECHNOLOGY GROUP
PINR.UK,PANTHEON INT
PIP.UK,PIPEHAWK
PIRI.UK,PIRES INVESTMENTS
PJF.UK,PROSPECT JAPAN FUND LD
PKG.UK,PARK GROUP
PLA.UK,PLASTICS CAPITAL
PLAZ.UK,PLAZA CENTERS
PLE.UK,PLETHORA SOLUTIONS HOLDINGS
PLI.UK,PERPETUAL INCOME AND GROWTH INVESTMENT TRUST
PLMO.UK,POLEMOS
PLND.UK,POUNDLAND GROUP
PLP.UK,POLYPIPE GROUP
PLUS.UK,PLUS500
PMEA.UK,PME AFRICAN INFRASTRUCTURE OPPORTUNITIES
PMG.UK,PARKMEAD GROUP
PMH.UK,PUMA HIGH INCOME VCT
PML.UK,PAPUA MINING
PMO.UK,PREMIER OIL
PMP.UK,PORTMEIRION GROUP
PMR.UK,PANMURE GORDON
PNA.UK,PENNA CONSULTING
PNL.UK,PERSONAL ASSETS TRUST
PNN.UK,PENNON GROUP
PNS.UK,PANTHER SECURITIES
POG.UK,PETROPAVLOVSK
POL.UK,POLO RESOURCES
POLR.UK,POLAR CAPITAL HOLDINGS
POLY.UK,POLYMETAL INT
POS.UK,PLEXUS HOLDINGS
POWR.UK,POWERFLUTE OYJ
PPC.UK,PRESIDENT ENERGY
PPE.UK,PROVEN PLANNED EXIT VCT
PPEA.UK,PROVEN PLANNED EXIT VCT
PPG.UK,PLUTUS POWERGEN
PPH.UK,PPHE HOTEL GROUP
PPIX.UK,PROPHOTONIX
PPS.UK,PROTON POWER SYSTEMS
PREM.UK,PREMIER AFRICAN MINERALS
PRES.UK,PRESSURE TECHNOLOGIES
PRG.UK,PARAGON DIAMONDS
PRM.UK,PROTEOME SCIENCES
PRO.UK,PROGRESSIVE DIGITAL MEDIA GROUP
PROG.UK,PRO GLOBAL INSURANCE SOLUTIONS
PROJ.UK,PROJECT FINANCE INVESTMENTS
PROX.UK,PROXAMA
PRP.UK,PRIME PEOPLE
PRS.UK,PATERNOSTER RESOURCES
PRTC.UK,PURETECH HEALTH
PRU.UK,PRUDENTIAL
PRV.UK,PORVAIR
PRW.UK,PROMETHEAN WORLD
PSDL.UK,PHOENIX SPREE DEUTSCHLAND
PSL.UK,PHOTONSTAR LED GROUP
PSN.UK,PERSIMMON
PSON.UK,PEARSON
PSPI.UK,PUBLIC SERVICE PROPERTIES INVESTMENTS
PTCM.UK,PORTA COMMUNICATIONS
PTD.UK,PITTARDS
PTEC.UK,PLAYTECH
PTF.UK,PHAUNOS TIMBER FUND
PTO.UK,PUBLISHING TECHNOLOGY
PTR.UK,PETRONEFT RESOURCES
PTSG.UK,PREMIER TECHNICAL SERVICES GROUP
PTV.UK,PEERTV
PTY.UK,PARITY GROUP
PU11.UK,PUMA VCT 11
PUB.UK,PUNCH TAVERNS
PUM8.UK,PUMA VCT 8
PUM9.UK,PUMA VCT 9
PUMA.UK,PUMA VCT VII
PUMX.UK,PUMA VCT 10
PUR.UK,PURE WAFER
PURE.UK,PURECIRCLE
PURI.UK,PURICORE
PURP.UK,PURPLEBRICKS GROUP
PVCS.UK,PV CRYSTALOX SOLAR
PVG.UK,PREMIER VETERINARY GROUP
PVN.UK,PROVEN VCT
PVR.UK,PROVIDENCE RESOURCES
PWS.UK,PINEWOOD GROUP
PXOG.UK,PROSPEX OIL AND GAS
PXS.UK,PROVEXIS
PYC.UK,PHYSIOMICS
PZC.UK,PZ CUSSONS
QED.UK,QUINTAIN ESTATES AND DEVELOPMENT
QFI.UK,QUADRISE FUELS INT
QIF.UK,QATAR INVESTMENT FUND
QIL.UK,QANNAS INVESTMENTS
QPP.UK,WATCHSTONE GROUP
QP_.UK,QUANTUM PHARMACEUTICAL
QQ_.UK,QINETIQ GROUP
QRM.UK,QUORAM
QRT.UK,QUARTO GROUP
QTX.UK,QUARTIX HOLDINGS
QXT.UK,QUIXANT
R4E.UK,REACH4ENTERTAINMENT ENTERPRISES
RAME.UK,RAME ENERGY
RAT.UK,RATHBONE BROTHERS
RBD.UK,REABOLD RESOURCES
RBG.UK,REVOLUTION BARS GROUP
RBN.UK,ROBINSON
RBS.UK,ROYAL BANK OF SCOTLAND GROUP
RB_.UK,RECKITT BENCKISER GROUP
RC2.UK,RECONSTRUCTION CAPITAL II
RCDO.UK,RICARDO
RCI.UK,RAPIDCLOUD INT
RCN.UK,REDCENTRIC
RCP.UK,RIT CAPITAL PARTNERS
RDI.UK,REDEFINE INT
RDL.UK,RANGER DIRECT LENDING FUND
RDSA.UK,ROYAL DUTCH SHELL
RDSB.UK,ROYAL DUTCH SHELL
RDT.UK,ROSSLYN DATA TECHNOLOGIES
RDW.UK,REDROW
REAC.UK,REACT ENERGY
REAT.UK,REACT GROUP
REC.UK,RECORD
RECI.UK,REAL ESTATE CREDIT INVESTMENTS PCC
RECP.UK,REAL ESTATE CREDIT INVESTMENTS PCC LIMIT
RED.UK,REDT ENERGY
REDD.UK,REDDE
REDT.UK,RED24
REDX.UK,REDX PHARMA
REH.UK,RENEWABLE ENERGY HOLDINGS
REL.UK,RELX
REM.UK,RARE EARTH MINERALS
RENE.UK,RENEURON GROUP
REVO.UK,REVOLYMER
REX.UK,REXAM
RE_.UK,REA HOLDINGS
RE_B.UK,R.E.A. HOLDINGS
RE_N.UK,R.E.A. HOLDINGS
RGD.UK,REAL GOOD FOOD
RGL.UK,REGIONAL REIT
RGM.UK,REGENCY MINES
RGP.UK,ROSS GROUP
RGS.UK,REGENERSIS
RGU.UK,REGUS
RHL.UK,REDHALL GROUP
RHM.UK,RESOURCE HOLDING MANAGEMENT
RIC.UK,RICHOUX GROUP
RICA.UK,RUFFER INVESTMENT COMPANY
RICO.UK,RICOH
RIFA.UK,RELIANCE INFRASTRUCTURE
RIIC.UK,RIGHTS AND ISSUES INVESTMENT TRUST
RIII.UK,RIGHTS AND ISSUES INVESTMENT TRUST
RIO.UK,RIO TINTO
RIV.UK,RIVER & MERCANTILE GROUP
RKH.UK,ROCKHOPPER EXPLORATION
RLD.UK,RICHLAND RESOURCES
RLE.UK,REAL ESTATE INVESTORS
RLH.UK,RED LEOPARD HOLDINGS
RM2.UK,RM2 INT
RMA.UK,RASMALA
RMG.UK,ROYAL MAIL
RMM.UK,RAMBLER METALS AND MINING
RMMC.UK,RIVER & MERCANTILE UK MICRO CAP INVESTMENT
RMP.UK,RED EMPEROR RESOURCES NL
RMV.UK,RIGHTMOVE
RM_.UK,RM
RNK.UK,RANK GROUP
RNO.UK,RENOLD
RNWH.UK,RENEW HOLDINGS
ROL.UK,ROTALA
ROR.UK,ROTORK
ROSE.UK,ROSE PETROLEUM
RPC.UK,RPC GROUP
RPO.UK,RUSPETRO
RPS.UK,RPS GROUP
RPT.UK,REGAL PETROLEUM
RQIH.UK,RANDALL & QUILTER INVESTMENT HOLDINGS
RRL.UK,RANGE RESOURCES
RRR.UK,RED ROCK RESOURCES
RRS.UK,RANDGOLD RESOURCES
RR_.UK,ROLLS-ROYCE HOLDINGS
RSA.UK,RSA INSURANCE GROUP
