17GK.UK,MEGAFON A
BOR.UK,BORDERS & SOUTHERN PETROLEUM
BOTB.UK,BEST OF THE BEST
BOX.UK,BOXHILL TECHNOLOGIES
BOY.UK,BODYCOTE
BPC.UK,BAHAMAS PETROLEUM
BPFU.UK,BLUE PLANET FINANCIALS GROWTH AND INCOME
BPI.UK,BRITISH POLYTHENE INDUSTRIES
BPM.UK,BP MARSH & PARTNERS
BPTY.UK,BWIN PARTY DIGITAL ENTERTAINMENT
BP_.UK,BP
BP_A.UK,BP
BP_B.UK,BP
BQE.UK,BIOQUELL
BRAM.UK,BRAMMER
BRBY.UK,BURBERRY GROUP
BRCI.UK,BLACKROCK COMMODITIES INCOME INVESTMENT TRUST
BRD.UK,BLUEROCK DIAMONDS
BREE.UK,BREEDON AGGREGATES
BRFI.UK,BLACKROCK FRONTIERS INVESTMENT TRUST
BRGE.UK,BLACKROCK GREATER EUROPE INVESTMENT TRUST
BRGS.UK,BLACKROCK GREATER EUROPE INVESTMENT TRUST
BRH.UK,BRAVEHEART INVESTMENT GROUP
BRIG.UK,BLACKROCK INCOME & GROWTH INVESTMENT TRUST
BRK.UK,BROOKS MACDONALD GROUP
BRLA.UK,BLACKROCK LATIN AMERICAN INVESTMENT TRUST
BRNA.UK,BLACKROCK NORTH AMERICAN INCOME TRUST
BRSC.UK,BLACKROCK SMALLER COS TRUST
BRSN.UK,BERENDSEN
BRW.UK,BREWIN DOLPHIN HOLDINGS
BRWM.UK,BLACKROCK WORLD MINING TRUST
BRY.UK,BRADY
BSC.UK,BRITISH SMALLER COMPANIES VCT 2
BSD.UK,BSD CROWN
BSE.UK,BASE RESOURCES
BSIF.UK,BLUEFIELD SOLAR INCOME FUND
BSRT.UK,BAKER STEEL RESOURCES TRUST
BSV.UK,BRITISH SMALLER COMPANIES VCT
BTEM.UK,BRITISH EMPIRE TRUST
BTG.UK,BTG
BT_A.UK,BT GROUP
BUR.UK,BURFORD CAPITAL
BUT.UK,BRUNNER INVESTMENT TRUST
BVA.UK,BANCO BILBAO VIZCAYA ARGENTARIA
BVC.UK,BATM ADVANCED COMMUNICATIONS
BVIC.UK,BRITVIC
BVM.UK,BELGRAVIUM TECHNOLOGIES
BVS.UK,BOVIS HOMES GROUP
BVT.UK,BARONSMEAD VCT 2
BVXP.UK,BIOVENTIX
BWNG.UK,N BROWN GROUP
BWO.UK,BARLOWORLD
BWRA.UK,BRISTOL WATER
BWSA.UK,BRISTOL & WEST
BWY.UK,BELLWAY
BXP.UK,BEXIMCO PHARMACEUTICALS
BYG.UK,BIG YELLOW GROUP
BYOT.UK,BYOTROL
BZM.UK,BELLZONE MINING
BZT.UK,BEZANT RESOURCES
